Id;ProductName;BrandName;ProductDescription;ImageName
1;Ocean's Embrace;Aurora Essence;Свежий, океанический аромат с нотами морского бриза и цитрусов, вдохновленный бескрайними просторами океана.;1.jpg
2;Twilight Cedar;Velvet Mystique;Теплый, древесный аромат с глубокими нотами кедра и ванили, созданный для загадочных вечеров.;2.jpg
3;Galactic Spice;Lunar Bloom;Смелый и пряный аромат с акцентами черного перца и мускатного ореха, напоминающий о неизведанных галактиках.;3.jpg
4;Forest Rain;Aurora Essence;Освежающий аромат с нотами лесного дождя и зеленого мха, призванный напомнить о живительной силе природы.;4.jpg
5;Amber Eclipse;Velvet Mystique;Глубокий, чувственный аромат с богатыми нотами янтаря и пачули, окутывающий тайнами ночи.;5.jpg
6;Solar Flare;Lunar Bloom;Яркий, энергичный аромат с нотами имбиря и лимона, вдохновленный неудержимой энергией солнца.;6.jpg
7;Mystic Oak;Aurora Essence;Насыщенный, древесный аромат с акцентами дуба и мускуса, создающий ощущение глубокого спокойствия.;7.jpg
8;Velvet Shadow;Velvet Mystique;Изысканный, мягкий аромат с нотами лаванды и шафрана, навеянный тайнами сумерек.;8.jpg
9;Lunar Whisper;Lunar Bloom;Легкий, воздушный аромат с нотами белого чая и жасмина, словно шепот Луны в тихую ночь.;9.jpg
10;Arctic Surge;Aurora Essence;Прохладный, стимулирующий аромат с нотами ментола и эвкалипта, напоминающий о ледяном дыхании Арктики.;10.jpg
11;Celestial Whisper;Aurora Essence;Светлый, воздушный аромат с нотами белых цветов, нежно обволакивающий как теплый весенний бриз.;11.jpg
12;Midnight Velvet;Velvet Mystique;Глубокий, соблазнительный аромат с акцентами черной смородины и мускуса, напоминающий о загадочных ночах.;12.jpg
13;Moonflower Dream;Lunar Bloom;Мечтательный аромат с гармонией лунного цветка и ванили, созданный для волшебных моментов.;13.jpg
14;Sunlit Rose;Aurora Essence;Теплый, цветочный аромат розы с лучами солнца, оживляющий и вдохновляющий.;14.jpg
15;Mystic Orchid;Velvet Mystique;Экзотический и загадочный, с нотами орхидеи и темного шоколада, для моментов, когда нужно очарование.;15.jpg
16;Lunar Lavender;Lunar Bloom;Спокойный и умиротворяющий аромат лаванды, смягченный нежными нотами жасмина.;16.jpg
17;Emerald Whisper;Aurora Essence;Освежающий и живой, с нотами зеленого чая и мяты, наполненный энергией природы.;17.jpg
18;Velvet Nights;Velvet Mystique;Интригующий аромат с нотами пачули и амбры, погружающий в глубины ночи.;18.jpg
19;Celestial Bloom;Lunar Bloom;Вдохновляющий, свежий аромат с нотами цитруса и пиона, словно первый луч света, пробивающийся сквозь ночь.;19.jpg
20;Serene Peony;Aurora Essence;Мягкий и успокаивающий, с богатыми нотами пиона и сандала, для моментов чистого спокойствия и гармонии.;20.jpg
